;Level;2
;Procedure;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;pracproc;
;face;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;control.bmp;
;slidestate;Go;Go;Go;Go;Go;Go;Go;NoGo;NoGo;Go;Go;Go;NoGo;NoGo;NoGo;Go;Go;Go;Go;NoGo;Go;NoGo;Go;Go;Go;Go;Go;NoGo;Go;NoGo;NoGo;NoGo;NoGo;Go;Go;Go;
;probe;_;_;I;_;_;I;_;I;_;I;I;_;_;I;I;_;I;_;I;_;I;I;_;I;I;_;_;I;I;_;_;I;_;I;_;I;
;proberight;I;I;_;I;I;_;I;_;I;_;_;I;I;_;_;I;_;I;_;I;_;_;I;_;_;I;I;_;_;I;I;_;I;_;I;_;
;;Level;3
;;Procedure;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;
;;face;03F_NE_C.BMP;18F_NE_O.BMP;34M_NE_C.BMP;11F_NE_O.BMP;45M_NE_C.BMP;03F_NE_C.BMP;18F_NE_O.BMP;42M_NE_C.BMP;42M_NE_C.BMP;03F_NE_C.BMP;40M_NE_C.BMP;34M_NE_C.BMP;40M_NE_C.BMP;42M_NE_C.BMP;10F_NE_O.BMP;18F_NE_O.BMP;10F_NE_O.BMP;11F_NE_O.BMP;45M_NE_C.BMP;11F_NE_O.BMP;34M_NE_C.BMP;40M_NE_C.BMP;10F_NE_O.BMP;45M_NE_C.BMP;
;;slidestate;NoGo;Go;NoGo;Go;NoGo;Go;Go;Go;Go;Go;NoGo;Go;Go;NoGo;Go;NoGo;Go;NoGo;Go;Go;Go;Go;NoGo;Go;
;;probe;_;I;_;_;I;_;I;_;_;_;I;_;I;_;I;I;I;_;I;_;_;I;I;I;
;;proberight;I;_;I;I;_;I;_;I;I;I;_;I;_;I;_;_;_;I;_;I;I;_;_;_;
;;Correct;{SPACE};a;{SPACE};l;{SPACE};l;a;l;l;l;{SPACE};l;a;{SPACE};a;{SPACE};a;{SPACE};a;l;l;a;{SPACE};a;
;;NeutralList;1;12;5;11;8;9;20;23;15;17;6;13;14;7;10;4;18;3;16;19;21;22;2;24;
;;Running;NeutralList;NeutralList;NeutralList;NeutralList;NeutralList;NeutralList;NeutralList;NeutralList;NeutralList;NeutralList;NeutralList;NeutralList;NeutralList;NeutralList;NeutralList;NeutralList;NeutralList;NeutralList;NeutralList;NeutralList;NeutralList;NeutralList;NeutralList;NeutralList;
;;Stimulus.OnsetDelay;30;30;30;30;30;14;13;30;13;13;30;13;14;14;30;13;13;13;13;13;13;13;13;14;
;;Stimulus.OnsetTime;383944;386394;388860;390994;394244;397394;399893;402360;404693;407760;409727;412660;415027;417360;420160;422893;425176;427276;430243;432593;434426;436809;439276;441243;
;;Stimulus.DurationError;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;
;;Stimulus.RTTime;385332;387800;389940;393177;396351;398851;401294;403644;406708;408660;411617;413979;416315;419107;421854;424140;426227;429199;431546;433376;435757;438234;440197;442245;
;;Stimulus.ACC;1;1;0;1;1;1;1;1;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;
;;Stimulus.RT;1388;1406;1080;2183;2107;1457;1401;1284;2015;900;1890;1319;1288;1747;1694;1247;1051;1923;1303;783;1331;1425;921;1002;
;;Stimulus.RESP;{SPACE};a;a;l;{SPACE};l;a;l;a;l;l;l;a;{SPACE};{SPACE};{SPACE};a;{SPACE};a;l;l;a;{SPACE};a;
;;Stimulus.CRESP;{SPACE};a;{SPACE};l;{SPACE};l;a;l;l;l;{SPACE};l;a;{SPACE};a;{SPACE};a;{SPACE};a;l;l;a;{SPACE};a;
;;Stimulus.OnsetToOnsetTime;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;
;;NeutralList.Cycle;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
;;NeutralList.Sample;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
;;DP_Stimulus.OnsetDelay;7.90;

;Level;2
;Procedure;Neutralproc;
;testproc;6;
;Running;testproc;
;testproc.Cycle;1;
;testproc.Sample;4;

;;Level;3
;;Procedure;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;trialproc;
;;face;42M_AN_C.BMP;42M_AN_C.BMP;45M_AN_O.BMP;42M_AN_C.BMP;11F_AN_C.BMP;34M_AN_C.BMP;34M_AN_C.BMP;11F_AN_C.BMP;45M_AN_O.BMP;18F_AN_O.BMP;40M_AN_O.BMP;18F_AN_O.BMP;34M_AN_C.BMP;03F_AN_O.BMP;03F_AN_O.BMP;10F_AN_C.BMP;18F_AN_O.BMP;10F_AN_C.BMP;45M_AN_O.BMP;11F_AN_C.BMP;40M_AN_O.BMP;10F_AN_C.BMP;40M_AN_O.BMP;03F_AN_O.BMP;
;;slidestate;Go;Go;Go;NoGo;NoGo;Go;NoGo;Go;NoGo;Go;Go;Go;Go;Go;NoGo;NoGo;NoGo;Go;Go;Go;NoGo;Go;Go;Go;
;;probe;_;_;I;_;_;_;_;_;I;I;I;I;_;_;_;I;I;I;I;_;I;I;I;_;
;;proberight;I;I;_;I;I;I;I;I;_;_;_;_;I;I;I;_;_;_;_;I;_;_;_;I;
;;Correct;l;l;a;{SPACE};{SPACE};l;{SPACE};l;{SPACE};a;a;a;l;l;{SPACE};{SPACE};{SPACE};a;a;l;{SPACE};a;a;l;
;;AngerList;15;23;16;7;3;13;5;19;8;20;22;12;21;9;1;2;4;10;24;11;6;18;14;17;
